kind,mean_k,gamma,strategy,w,beta,rho0,rho,stderr
fig5_scan,6,0.02,si2,0.2,0.4,0.3,0.45075075,0
fig5_scan,6,0.02,si2,0.4,0.4,0.3,0.42162162,0
fig5_scan,6,0.02,si2,0.6,0.4,0.3,0.026876877,0
fig5_scan,6,0.02,si2,0.8,0.4,0.3,0.0057057057,0
fig5_wc,6,0.02,si2,0.8,0.4,0.3,,
fig5_scan,6,0.02,si3,0,0.25,0.3,0.3012012,0
fig5_scan,6,0.02,si3,0.2,0.25,0.3,0.03993994,0
fig5_scan,6,0.02,si3,0.4,0.25,0.3,0.33048048,0
fig5_scan,6,0.02,si3,0.6,0.25,0.3,0.11876877,0
fig5_scan,6,0.02,si3,0.8,0.25,0.3,0.13498498,0
fig5_scan,6,0.02,si3,1,0.25,0.3,0.22177177,0
fig5_wc,6,0.02,si3,1,0.25,0.3,,
fig5_scan,6,0.02,si3,0,0.3,0.3,0.47777778,0
fig5_scan,6,0.02,si3,0.2,0.3,0.3,0.024474474,0
fig5_scan,6,0.02,si3,0.4,0.3,0.3,0.026576577,0
fig5_scan,6,0.02,si3,0.6,0.3,0.3,0.081681682,0
fig5_scan,6,0.02,si3,0.8,0.3,0.3,0.11486486,0
fig5_scan,6,0.02,si3,1,0.3,0.3,0.10345345,0
fig5_wc,6,0.02,si3,1,0.3,0.3,,
fig5_scan,6,0.02,si3,0,0.35,0.3,0.51651652,0
fig5_scan,6,0.02,si3,0.2,0.35,0.3,0.39954955,0
fig5_scan,6,0.02,si3,0.4,0.35,0.3,0.023423423,0
fig5_scan,6,0.02,si3,0.6,0.35,0.3,0.096396396,0
fig5_scan,6,0.02,si3,0.8,0.35,0.3,0.051801802,0
fig5_scan,6,0.02,si3,1,0.35,0.3,0.05,0
fig5_wc,6,0.02,si3,1,0.35,0.3,,
fig5_scan,6,0.02,si3,0,0.4,0.3,0.59054054,0
fig5_scan,6,0.02,si3,0.2,0.4,0.3,0.41921922,0
fig5_scan,6,0.02,si3,0.4,0.4,0.3,0.32657658,0
fig5_scan,6,0.02,si3,0.6,0.4,0.3,0.25135135,0
fig5_scan,6,0.02,si3,0.8,0.4,0.3,0.021771772,0
fig5_scan,6,0.02,si3,1,0.4,0.3,0.025225225,0
fig5_wc,6,0.02,si3,1,0.4,0.3,,
fig5_scan,6,0.02,ti,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,ti,0.2,0.25,0.5,0.37627628,0
fig5_scan,6,0.02,ti,0.4,0.25,0.5,0.22942943,0
fig5_scan,6,0.02,ti,0.6,0.25,0.5,0.028528529,0
fig5_scan,6,0.02,ti,0.8,0.25,0.5,0.12147147,0
fig5_scan,6,0.02,ti,1,0.25,0.5,0.018468468,0
fig5_wc,6,0.02,ti,1,0.25,0.5,,
fig5_scan,6,0.02,ti,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,ti,0.2,0.3,0.5,0.36441441,0
fig5_scan,6,0.02,ti,0.4,0.3,0.5,0.15780781,0
fig5_scan,6,0.02,ti,0.6,0.3,0.5,0.018918919,0
fig5_wc,6,0.02,ti,0.6,0.3,0.5,,
fig5_scan,6,0.02,ti,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,ti,0.2,0.35,0.5,0.47072072,0
fig5_scan,6,0.02,ti,0.4,0.35,0.5,0.16291291,0
fig5_scan,6,0.02,ti,0.6,0.35,0.5,0.019069069,0
fig5_wc,6,0.02,ti,0.6,0.35,0.5,,
fig5_scan,6,0.02,ti,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,ti,0.2,0.4,0.5,0.41966967,0
fig5_scan,6,0.02,ti,0.4,0.4,0.5,0.31036036,0
fig5_scan,6,0.02,ti,0.6,0.4,0.5,0.042792793,0
fig5_scan,6,0.02,ti,0.8,0.4,0.5,0.011261261,0
fig5_wc,6,0.02,ti,0.8,0.4,0.5,,
fig5_scan,6,0.02,random,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,random,0.2,0.25,0.5,0.33333333,0
fig5_scan,6,0.02,random,0.4,0.25,0.5,0.32702703,0
fig5_scan,6,0.02,random,0.6,0.25,0.5,0.0066066066,0
fig5_wc,6,0.02,random,0.6,0.25,0.5,,
fig5_scan,6,0.02,random,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,random,0.2,0.3,0.5,0.11006006,0
fig5_scan,6,0.02,random,0.4,0.3,0.5,0.06951952,0
fig5_scan,6,0.02,random,0.6,0.3,0.5,0.16996997,0
fig5_scan,6,0.02,random,0.8,0.3,0.5,0.04984985,0
fig5_scan,6,0.02,random,1,0.3,0.5,0.17567568,0
fig5_wc,6,0.02,random,1,0.3,0.5,,
fig5_scan,6,0.02,random,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,random,0.2,0.35,0.5,0.033483483,0
fig5_scan,6,0.02,random,0.4,0.35,0.5,0.038888889,0
fig5_scan,6,0.02,random,0.6,0.35,0.5,0.33978979,0
fig5_scan,6,0.02,random,0.8,0.35,0.5,0.0097597598,0
fig5_wc,6,0.02,random,0.8,0.35,0.5,,
